Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
17106492,00000481,false,Rx,0,8,40,02,FF,FF,FF,FF,FF,FF,
17111672,00000130,false,Rx,0,5,41,41,A1,1F,38,00,00,00,
17207739,000004C0,false,Rx,0,8,41,02,FF,FF,FF,FF,FF,FF,
17211628,00000130,false,Rx,0,5,41,41,A1,1F,49,00,00,00,
17304321,000004C1,false,Rx,0,8,56,52,FE,FF,FF,FF,FF,FF,
17313529,00000130,false,Rx,0,5,41,41,A1,1F,5A,00,00,00,
17347011,00000130,false,Rx,0,5,41,41,A1,0F,5B,00,00,00,
17404226,000004D6,false,Rx,0,8,60,42,FE,FF,FF,FF,FF,FF,
17411672,00000130,false,Rx,0,5,41,41,A1,0F,7C,00,00,00,
17488814,000004E0,false,Rx,0,8,61,42,FF,FF,FF,FF,FF,FF,
17511654,00000130,false,Rx,0,5,41,41,A1,0F,8D,00,00,00,
17589737,000004E1,false,Rx,0,8,62,42,FE,FF,FF,FF,FF,FF,
17611689,00000130,false,Rx,0,5,41,41,A1,0F,9E,00,00,00,
17690490,000004E2,false,Rx,0,8,67,42,FE,FF,FF,FF,FF,FF,
17711673,00000130,false,Rx,0,5,41,41,A1,0F,A0,00,00,00,
17784784,000004E7,false,Rx,0,8,6D,52,FE,FF,FF,FF,FF,FF,
17811678,00000130,false,Rx,0,5,41,41,A1,0F,B1,00,00,00,
17879823,000004ED,false,Rx,0,8,72,52,FE,FF,FF,FF,FF,FF,
17911686,00000130,false,Rx,0,5,41,41,A1,0F,C2,00,00,00,
17961899,000004F2,false,Rx,0,8,73,52,FD,FF,00,40,01,00,
18011669,00000130,false,Rx,0,5,41,41,A1,0F,D3,00,00,00,
18044045,000004F3,false,Rx,0,8,78,42,FE,FF,FF,FF,FF,FF,
18111701,00000130,false,Rx,0,5,41,41,A1,0F,E4,00,00,00,
18132096,000004F8,false,Rx,0,8,00,42,FE,FF,FF,FF,FF,FF,
18211694,00000130,false,Rx,0,5,41,41,A1,0F,F5,00,00,00,
